id,type,long,trend,entry_i,entry_ts,entry,sl,tp,atr,exit_i,exit_ts,exit,reason,bars,gross,comm,net,pts,trail
694,TL,True,True,20697,1757046600000,111257.99,111050.21712159981,111777.42219600051,346.28813066699945,20701,1757053800000,111777.42219600051,TP,4,51.94321960005036,11.151770609800028,40.79144899025033,519.4321960005036,0.0
695,TL,True,True,20702,1757055600000,111912.0,111693.0277886449,112459.43052838775,364.95368559183305,20702,1757055600000,112459.43052838775,TP,0,54.74305283877475,5.5956,49.147452838774754,547.4305283877475,
696,TL,True,True,20703,1757057400000,112708.55,112489.40394659885,113256.41513350292,365.2434223352732,20704,1757059200000,112708.55,BE,1,0.0,11.270855000000001,-11.270855000000001,0.0,0.0
697,TL,True,True,20713,1757075400000,112611.27,112371.39129861775,113210.96675345566,399.7978356371046,20713,1757075400000,112371.39129861775,SL,0,-23.987870138225844,5.6305635,-29.618433638225845,239.87870138225844,
698,TL,True,True,20851,1757323800000,111842.97,111665.05081639955,112287.76795900111,296.5319726674046,20854,1757329200000,111842.97,BE,3,0.0,11.184297,-11.184297,0.0,0.0
699,TL,True,True,20858,1757336400000,112034.5,111866.95682771894,112453.35793070265,279.23862046843675,20859,1757338200000,112034.5,BE,1,0.0,11.20345,-11.20345,0.0,0.0
700,TL,True,True,20861,1757341800000,112249.77,112058.35664668314,112728.30338329218,319.022255528117,20861,1757341800000,112728.30338329218,TP,0,47.853338329217515,5.6124885,42.24084982921752,478.53338329217513,
701,TL,True,True,20862,1757343600000,112645.06,112453.41745763434,113124.16635591416,319.4042372761083,20863,1757345400000,112645.06,BE,1,0.0,11.264506,-11.264506,0.0,0.0
702,TL,True,True,20888,1757390400000,111708.01,111528.68466408808,112156.32333977979,298.8755598531952,20891,1757395800000,112156.32333977979,TP,3,44.83133397797938,11.19321666698899,33.63811731099039,448.31333977979375,0.0
703,TL,True,True,20892,1757397600000,112200.01,112007.95538486619,112680.1465378345,320.0910252230075,20892,1757397600000,112680.1465378345,TP,0,48.01365378345072,5.6100005,42.40365328345072,480.1365378345072,
704,TL,True,True,20893,1757399400000,112622.58,112421.35442880432,113125.6439279892,335.3759519927917,20893,1757399400000,113125.6439279892,TP,0,50.30639279891912,5.6311290000000005,44.67526379891912,503.06392798919114,
705,TL,True,True,20894,1757401200000,113022.62,112823.63139817544,113520.09150456138,331.64766970759183,20895,1757403000000,113022.62,BE,1,0.0,11.302262,-11.302262,0.0,0.0
706,TL,True,True,20952,1757505600000,112300.0,112125.11686055445,112737.20784861386,291.47189907590507,20953,1757507400000,112737.20784861386,TP,1,43.72078486138635,11.251860392430693,32.468924468955656,437.20784861386346,0.0
707,TL,True,True,20954,1757509200000,113413.5,113204.76994609032,113935.32513477419,347.88342318279575,20955,1757511000000,113413.5,BE,1,0.0,11.34135,-11.34135,0.0,0.0
708,TL,True,True,20983,1757561400000,114121.03,113937.67310558275,114579.4222360431,305.59482402873226,20985,1757565000000,114121.03,BE,2,0.0,11.412103000000002,-11.412103000000002,0.0,0.0
709,TL,True,True,20987,1757568600000,114117.47,113945.9097386128,114546.37065346801,285.93376897867,20988,1757570400000,114117.47,BE,1,0.0,11.411747000000002,-11.411747000000002,0.0,0.0
710,TL,True,True,20989,1757572200000,114265.99,114101.72210115084,114676.65974712293,273.7798314152818,20990,1757574000000,114101.72210115084,SL,1,-16.426789884916797,11.418385605057543,-27.845175489974338,164.26789884916798,0.0
711,TL,True,True,21000,1757592000000,113999.99,113852.06023107331,114369.81442231676,246.54961487783936,21000,1757592000000,114369.81442231676,TP,0,36.98244223167567,5.6999995000000006,31.28244273167567,369.8244223167567,
712,TL,True,True,21063,1757705400000,116524.88,116339.73911715327,116987.73220711686,308.5681380779042,21064,1757707200000,116339.73911715327,SL,1,-18.514088284673928,11.643230955857666,-30.157319240531592,185.14088284673926,0.0
713,TL,True,True,21205,1757961000000,114942.34,114720.48788153536,115496.9702961616,369.7535307744047,21206,1757962800000,115496.9702961616,TP,1,55.463029616160206,11.52196551480808,43.941064101352126,554.630296161602,0.0
714,TL,True,True,21255,1758051000000,116488.63,116277.2817276335,117017.00068091629,352.24712061085353,21269,1758076200000,117017.00068091629,TP,14,52.83706809162832,11.675281534045817,41.1617865575825,528.3706809162832,0.0
715,TL,True,True,21274,1758085200000,116313.5,116152.96935312284,116714.82661719291,267.5510781286073,21275,1758087000000,116714.82661719291,TP,1,40.132661719291356,11.651416330859647,28.48124538843171,401.32661719291355,0.0
716,TL,True,True,21277,1758090600000,117051.9,116876.906901899,117489.38274525249,291.65516350165814,21280,1758096000000,117051.9,BE,3,0.0,11.70519,-11.70519,0.0,0.0
717,TL,True,True,21340,1758204000000,117432.04,117230.29569198716,117936.40077003205,336.2405133547027,21342,1758207600000,117432.04,BE,2,0.0,11.743204,-11.743204,0.0,0.0
718,TL,True,True,21344,1758211200000,117583.56,117386.59788907866,118075.96527730334,328.2701848688997,21350,1758222000000,117583.56,BE,6,0.0,11.758356,-11.758356,0.0,0.0
719,TS,False,True,21504,1758499200000,115232.29,115338.98925870207,114965.54185324481,177.83209783679268,21504,1758499200000,115338.98925870207,SL,0,-10.669925870207955,5.761614499999999,-16.431540370207955,106.69925870207953,
720,TS,False,True,21543,1758569400000,112449.32,112672.18692473839,111892.15268815408,371.44487456395643,21545,1758573000000,112449.32,BE,2,0.0,11.244932,-11.244932,0.0,0.0
721,TS,False,True,21555,1758591000000,112494.12,112685.9487564542,112014.54810886446,319.71459409035975,21557,1758594600000,112014.54810886446,TP,2,47.95718911355362,11.225433405443225,36.73175570811039,479.57189113553613,0.0
722,TS,False,True,21604,1758679200000,112451.25,112636.86345929207,111987.2163517698,309.3557654867979,21605,1758681000000,111987.2163517698,TP,1,46.403364823019366,11.221923317588491,35.181441505430875,464.03364823019365,0.0
723,TS,False,True,21606,1758682800000,112111.62,112307.75526847123,111621.28182882191,326.8921141187185,21608,1758686400000,111621.28182882191,TP,2,49.03381711780821,11.186645091441097,37.84717202636712,490.3381711780821,0.0
724,TS,False,True,21667,1758792600000,112079.76,112306.74478848792,111512.29802878018,378.3079808132073,21670,1758798000000,111512.29802878018,TP,3,56.74619712198182,11.179602901439008,45.56659422054281,567.4619712198182,0.0
725,TS,False,True,21672,1758801600000,111347.99,111568.9342539233,110795.62936519175,368.2404232055068,21672,1758801600000,111568.9342539233,SL,0,-22.094425392329867,5.5673995000000005,-27.661824892329868,220.94425392329867,
726,TS,False,True,21673,1758803400000,111125.76,111358.21437864307,110544.62405339233,387.4239644051133,21673,1758803400000,111358.21437864307,SL,0,-23.245437864307316,5.556288,-28.801725864307315,232.45437864307314,
727,TS,False,True,21695,1758843000000,109447.34,109755.1768280894,108677.74792977647,513.0613801490172,21697,1758846600000,109447.34,BE,2,0.0,10.944734,-10.944734,0.0,0.0
728,TS,False,True,21710,1758870000000,109360.0,109601.45876297986,108756.35309255034,402.4312716331057,21713,1758875400000,109601.45876297986,SL,3,-24.145876297986252,10.948072938148995,-35.093949236135245,241.4587629798625,0.0
729,TS,False,True,21716,1758880800000,109568.72,109794.65548310202,109003.88129224494,376.5591385033718,21716,1758880800000,109003.88129224494,TP,0,56.483870775505785,5.478436,51.00543477550578,564.8387077550578,
730,TS,False,True,21717,1758882600000,109092.01,109320.77494859473,108520.09762851316,381.27491432455963,21719,1758886200000,109092.01,BE,2,0.0,10.909201000000001,-10.909201000000001,0.0,0.0
731,TS,False,True,21725,1758897000000,109083.45,109354.69667063489,108405.33332341278,452.0777843914797,21726,1758898800000,109083.45,BE,1,0.0,10.908345,-10.908345,0.0,0.0
732,TL,True,True,21855,1759131000000,111607.85,111467.06904602387,111959.80238494034,234.6349232935544,21856,1759132800000,111959.80238494034,TP,1,35.195238494033404,11.178382619247019,24.016855874786387,351.952384940334,0.0
733,TL,True,True,21864,1759147200000,112100.0,111960.93290132424,112447.66774668942,231.77849779294309,21865,1759149000000,112100.0,BE,1,0.0,11.21,-11.21,0.0,0.0
734,TL,True,True,21879,1759174200000,114004.54,113789.47280911384,114542.20797721537,358.4453181435841,21889,1759192200000,114542.20797721537,TP,10,53.7667977215373,11.42733739886077,42.33946032267653,537.667977215373,0.0
